Name,Nick,Birth,Sex,Jobs,url,tags,status
권중현,일사오적,1854,남,친일귀족(자작),https://ko.wikipedia.org/wiki/%EA%B6%8C%EC%A4%91%ED%98%84,친일매국노:을사오적,P
권태환,권중현의아들,1875,남,친일귀족(자작),https://ko.wikipedia.org/wiki/%EA%B6%8C%ED%83%9C%ED%99%98,친일매국노:권중현,P
권영달,권중현의손자,,남,친일귀족,https://ko.wikipedia.org/wiki/%EA%B6%8C%EC%A4%91%ED%98%84,친일매국노:권중현,D
권영술,권중현의손자,1903,남,친일귀족,https://ko.wikipedia.org/wiki/%EA%B6%8C%EC%A4%91%ED%98%85,친일매국노:권중현,D
권영일,권중현의손자,1906,남,친일귀족,https://ko.wikipedia.org/wiki/%EA%B6%8C%EC%A4%91%ED%98%86,친일매국노:권중현,D
권영휼,권중현의손자,1909,남,친일귀족,https://ko.wikipedia.org/wiki/%EA%B6%8C%EC%A4%91%ED%98%87,친일매국노:권중현,D
권영열,권중현의손자,1911,남,친일귀족,https://ko.wikipedia.org/wiki/%EA%B6%8C%EC%A4%91%ED%98%88,친일매국노:권중현,D
권영걸,권중현의손자,1916,남,친일귀족,https://ko.wikipedia.org/wiki/%EA%B6%8C%EC%A4%91%ED%98%89,친일매국노:권중현,D
박제순,을사오적,1858,남,친일귀족(자작),https://ko.wikipedia.org/wiki/%EB%B0%95%EC%A0%9C%EC%88%9C,친일매국노:을사오적,P
박종면,박제순의할아버지,,남,민간인,https://ko.wikipedia.org/wiki/%EB%B0%95%EC%A0%9C%EC%88%9C,박제순:친일매국노,D
박흥수,박제순의아버지,1814,남,음서-이조참판,https://ko.wikipedia.org/wiki/%EB%B0%95%ED%99%8D%EC%88%98_(%EC%A1%B0%EC%84%A0),박제순:친일매국노,D
박제일,박제순의형,,남,민간인,https://ko.wikipedia.org/wiki/박제순/,박제순:친일매국노,D
박제성,박제순의형,1840,남,민간인,https://ko.wikipedia.org/wiki/박제순,박제순:친일매국노,D
박부양,박제순의아들,1905,남,친일귀족(자작),https://ko.wikipedia.org/wiki/%EB%B0%95%EB%B6%80%EC%96%91,박제순:친일매국노,P
박이양,박제순의아들,,남,친일귀족,https://ko.wikipedia.org/wiki/%EB%B0%95%EB%B6%80%EC%96%92,박제순:친일매국노,D
박승유,박제순의손자,1924,남,독립운동가,https://ko.wikipedia.org/wiki/%EB%B0%95%EC%8A%B9%EC%9C%A0_(1924%EB%85%84),박제순:독립운동가,P
이근택,일사오적,1865,남,친일귀족(자작),https://ko.wikipedia.org/wiki/%EC%9D%B4%EA%B7%BC%ED%83%9D,친일매국노:을사오적,P
이민승,이근택의아버지,,남,민간인,https://ko.wikipedia.org/wiki/이근택,이근택,D
이근호,이근택의형,1860,남,친일귀족(남작),https://ko.wikipedia.org/wiki/%EC%9D%B4%EA%B7%BC%ED%98%B8_(%EC%A1%B0%EC%84%A0),친일매국노:이근택,P
이동훈,이근호의아들,1894,남,친일귀족(남작),https://ko.wikipedia.org/wiki/%EC%9D%B4%EB%8F%99%ED%9B%88_(%EC%A1%B0%EC%84%A0%EA%B7%80%EC%A1%B1),친일매국노:이근택,P
이창훈,이근택의아들,1890,남,친일귀족(자작),https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%B0%BD%ED%9B%88_(%EC%A1%B0%EC%84%A0%EA%B7%80%EC%A1%B1),친일매국노:이근택,P
